name,ticker_bourso,isin,detail_url,last,variation,high,low,volume,raw_data_ist_init
TF1,1rPTF1NV,FR001400UJV4,https://www.boursorama.com/cours/1rPTF1NV/,0,0,0,0,,"{""symbol"":""1rPTF1NV"",""variation"":0,""last"":0,""previousClose"":0,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""0000-00-00 00:00:00"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":6.468,""lowLimit"":5.34492,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TFF GROUP,1rPTFF,FR0013295789,https://www.boursorama.com/cours/1rPTFF/,15.9,0.035830618892508,15.9,14.9,,"{""symbol"":""1rPTFF"",""variation"":0.035830618892508,""last"":15.9,""previousClose"":15.35,""high"":15.9,""low"":14.9,""totalVolume"":902,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:35:56"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":16.65,""lowLimit"":15.15,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THE AZUR SEL,1rPMLAZR,GRS528003007,https://www.boursorama.com/cours/1rPMLAZR/,0.25,0,0.25,0.25,,"{""symbol"":""1rPMLAZR"",""variation"":0,""last"":0.25,""previousClose"":0.25,""high"":0.25,""low"":0.25,""totalVolume"":8424,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 11:38:21"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.27,""lowLimit"":0.222,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THERACLION,1rPALTHE,FR0010120402,https://www.boursorama.com/cours/1rPALTHE/,0.444,-0.0089285714285714,0.453,0.44,,"{""symbol"":""1rPALTHE"",""variation"":-0.0089285714285714,""last"":0.444,""previousClose"":0.448,""high"":0.453,""low"":0.44,""totalVolume"":16993,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:41:56"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.466,""lowLimit"":0.422,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THERADIAG,1rPALTER,FR0004197747,https://www.boursorama.com/cours/1rPALTER/,1.26,-0.48987854251012,0,0,,"{""symbol"":""1rPALTER"",""variation"":-0.48987854251012,""last"":1.26,""previousClose"":2.47,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2023-12-15 17:08:48"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0002,""lowLimit"":0.0002,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THERMADOR,1rPTHEP,FR0013333432,https://www.boursorama.com/cours/1rPTHEP/,70,-0.0056818181818183,70.3,69.5,,"{""symbol"":""1rPTHEP"",""variation"":-0.0056818181818183,""last"":70,""previousClose"":70.4,""high"":70.3,""low"":69.5,""totalVolume"":497,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:15:28"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":73.5,""lowLimit"":66.5,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THX PHARMA (EX THERANEXUS),1rPALTHX,FR0013286259,https://www.boursorama.com/cours/1rPALTHX/,2.93,-0.029801324503311,3.03,2.91,,"{""symbol"":""1rPALTHX"",""variation"":-0.029801324503311,""last"":2.93,""previousClose"":3.02,""high"":3.03,""low"":2.91,""totalVolume"":51008,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:47:06"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":3.07,""lowLimit"":2.79,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TIPIAK,1rPTIPI,FR0000066482,https://www.boursorama.com/cours/1rPTIPI/,88,0,0,0,,"{""symbol"":""1rPTIPI"",""variation"":0,""last"":88,""previousClose"":88,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2024-07-31 11:30:19"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":96.8,""lowLimit"":79.992,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TITAN,1rPTITC,BE0974338700,https://www.boursorama.com/cours/1rPTITC/,54.9,0.21058434399118,43.4,42.4,,"{""symbol"":""1rPTITC"",""variation"":0.21058434399118,""last"":54.9,""previousClose"":45.35,""high"":43.4,""low"":42.4,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 12:08:34"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":49.885,""lowLimit"":41.22315,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TME PHARMA,1rPALTME,NL0015000YE1,https://www.boursorama.com/cours/1rPALTME/,0.0701,-0.061579651941098,0.0744,0.0701,,"{""symbol"":""1rPALTME"",""variation"":-0.061579651941098,""last"":0.0701,""previousClose"":0.0747,""high"":0.0744,""low"":0.0701,""totalVolume"":143610,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 10:44:36"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0806,""lowLimit"":0.0596,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TONNER DRONES,1rPALTD,FR001400H2X4,https://www.boursorama.com/cours/1rPALTD/,0.0302,-0.038216560509554,0.0309,0.0298,,"{""symbol"":""1rPALTD"",""variation"":-0.038216560509554,""last"":0.0302,""previousClose"":0.0314,""high"":0.0309,""low"":0.0298,""totalVolume"":2357228,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:48:52"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.0407,""lowLimit"":0.0197,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TOOLUX SANDING,1rPALTLX,LU0394945660,https://www.boursorama.com/cours/1rPALTLX/,2.3,0,0,0,,"{""symbol"":""1rPALTLX"",""variation"":0,""last"":2.3,""previousClose"":2.3,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2022-08-29 16:30:04"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0005,""lowLimit"":0.0005,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TOOSLA,1rPALTOO,FR00140062B9,https://www.boursorama.com/cours/1rPALTOO/,0.0534,-0.021978021978022,0.0566,0.0502,,"{""symbol"":""1rPALTOO"",""variation"":-0.021978021978022,""last"":0.0534,""previousClose"":0.0546,""high"":0.0566,""low"":0.0502,""totalVolume"":471429,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:49:20"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.064,""lowLimit"":0.0428,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TOUAX,1rPALTOU,FR0000033003,https://www.boursorama.com/cours/1rPALTOU/,3.85,0.013157894736842,3.86,3.78,,"{""symbol"":""1rPALTOU"",""variation"":0.013157894736842,""last"":3.85,""previousClose"":3.8,""high"":3.86,""low"":3.78,""totalVolume"":2167,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 13:05:44"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.04,""lowLimit"":3.66,""valorization"":0,""shares"":0,""tradeCapital"":0}"
THEON INTL,1rATHEON,CY0200751713,https://www.boursorama.com/cours/1rATHEON/,28.65,0.0052631578947368,28.65,27.7,,"{""symbol"":""1rATHEON"",""variation"":0.0052631578947368,""last"":28.65,""previousClose"":28.5,""high"":28.65,""low"":27.7,""totalVolume"":55279,""exchangeCode"":""AMS"",""tradeDate"":""2026-03-30 14:33:50"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":30.05,""lowLimit"":27.25,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TOMTOM,1rATOM2,NL0013332471,https://www.boursorama.com/cours/1rATOM2/,4.252,-0.017105871474803,4.298,4.226,,"{""symbol"":""1rATOM2"",""variation"":-0.017105871474803,""last"":4.252,""previousClose"":4.326,""high"":4.298,""low"":4.226,""totalVolume"":122587,""exchangeCode"":""AMS"",""tradeDate"":""2026-03-30 14:30:30"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.464,""lowLimit"":4.04,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TESSELLIS,FF11_TISN,IT0005496473,https://www.boursorama.com/cours/FF11-TISN/,0.414,0,0,0,,"{""symbol"":""FF11-TISN"",""variation"":0,""last"":0.414,""previousClose"":0.414,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""BEL"",""tradeDate"":""2023-09-04 16:52:44"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":0.0001,""lowLimit"":0.0001,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TESSENDERLO GR,FF11_TESB,BE0003555639,https://www.boursorama.com/cours/FF11-TESB/,19.64,-0.051207729468599,20.55,19.6,,"{""symbol"":""FF11-TESB"",""variation"":-0.051207729468599,""last"":19.64,""previousClose"":20.7,""high"":20.55,""low"":19.6,""totalVolume"":27655,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-30 14:29:26"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":20.6,""lowLimit"":18.66,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TEXAF,FF11_TEXF,BE0974263924,https://www.boursorama.com/cours/FF11-TEXF/,39,-0.025,39,39,,"{""symbol"":""FF11-TEXF"",""variation"":-0.025,""last"":39,""previousClose"":40,""high"":39,""low"":39,""totalVolume"":525,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-30 14:05:23"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":40.8,""lowLimit"":37.2,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TINC,FF11_TINC,BE0974282148,https://www.boursorama.com/cours/FF11-TINC/,11.3,-0.0070298769771529,11.4,11.26,,"{""symbol"":""FF11-TINC"",""variation"":-0.0070298769771529,""last"":11.3,""previousClose"":11.38,""high"":11.4,""low"":11.26,""totalVolume"":20258,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-30 14:26:09"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":11.86,""lowLimit"":10.74,""valorization"":0,""shares"":0,""tradeCapital"":0}"
TITAN,FF11_TITC,BE0974338700,https://www.boursorama.com/cours/FF11-TITC/,43.45,0.0023068050749712,43.5,42.4,,"{""symbol"":""FF11-TITC"",""variation"":0.0023068050749712,""last"":43.45,""previousClose"":43.35,""high"":43.5,""low"":42.4,""totalVolume"":14638,""exchangeCode"":""BEL"",""tradeDate"":""2026-03-30 14:32:45"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":45.6,""lowLimit"":41.3,""valorization"":0,""shares"":0,""tradeCapital"":0}"
U10 CORP,1rPALU10,FR0000079147,https://www.boursorama.com/cours/1rPALU10/,1.145,-0.017167381974249,1.165,1.145,,"{""symbol"":""1rPALU10"",""variation"":-0.017167381974249,""last"":1.145,""previousClose"":1.165,""high"":1.165,""low"":1.145,""totalVolume"":301,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 12:24:46"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":1.2,""lowLimit"":1.09,""valorization"":0,""shares"":0,""tradeCapital"":0}"
UBISOFT,1rPUBI,FR0000054470,https://www.boursorama.com/cours/1rPUBI/,3.889,0.025039536109647,3.889,3.715,,"{""symbol"":""1rPUBI"",""variation"":0.025039536109647,""last"":3.889,""previousClose"":3.794,""high"":3.889,""low"":3.715,""totalVolume"":411545,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:49:00"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":4.083,""lowLimit"":3.695,""valorization"":0,""shares"":0,""tradeCapital"":0}"
UMALIS GROUP,1rPMLUMG,FR0011776889,https://www.boursorama.com/cours/1rPMLUMG/,2.78,0,0,0,,"{""symbol"":""1rPMLUMG"",""variation"":0,""last"":2.78,""previousClose"":2.78,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-27 13:25:43"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":2.82,""lowLimit"":2.34,""valorization"":0,""shares"":0,""tradeCapital"":0}"
UNITI,1rPALUNT,FR0012709160,https://www.boursorama.com/cours/1rPALUNT/,1.39,-0.007142857142857,1.39,1.39,,"{""symbol"":""1rPALUNT"",""variation"":-0.007142857142857,""last"":1.39,""previousClose"":1.4,""high"":1.39,""low"":1.39,""totalVolume"":1,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 09:00:26"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":1.45,""lowLimit"":1.33,""valorization"":0,""shares"":0,""tradeCapital"":0}"
UPERGY,1rPALUPG,FR0010337865,https://www.boursorama.com/cours/1rPALUPG/,1.89,0,0,0,,"{""symbol"":""1rPALUPG"",""variation"":0,""last"":1.89,""previousClose"":1.89,""high"":0,""low"":0,""totalVolume"":0,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-27 17:18:51"",""category"":""STK"",""decimals"":3,""tradingDecimals"":3,""highLimit"":1.98,""lowLimit"":1.8,""valorization"":0,""shares"":0,""tradeCapital"":0}"
UTI GROUP,1rPFPG,FR0000074197,https://www.boursorama.com/cours/1rPFPG/,0.115,-0.0086206896551724,0.116,0.1015,,"{""symbol"":""1rPFPG"",""variation"":-0.0086206896551724,""last"":0.115,""previousClose"":0.116,""high"":0.116,""low"":0.1015,""totalVolume"":5581,""exchangeCode"":""PAR"",""tradeDate"":""2026-03-30 14:29:36"",""category"":""STK"",""decimals"":3,""tradingDecimals"":4,""highLimit"":0.1265,""lowLimit"":0.1035,""valorization"":0,""shares"":0,""tradeCapital"":0}"
